ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2021,"2021","151252","Software developers","true","true",3609,103127.92103075644,26842.14447023331,1474.9014502423197,132,"Parks, Recreation, & Leisure","31"
2021,"2021","172051","Civil engineers","true","true",1199,75487.08006672226,29667.88691959916,850.1246785250705,56,"Parks, Recreation, & Leisure","31"
2021,"2021","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",1159,115993.25452976704,66438.71096229907,835.8239427680055,54,"Parks, Recreation, & Leisure","31"
2021,"2021","291210","Physicians","true","true",11496,204661.5802887961,38465.7020787951,2632.276953311162,481,"Parks, Recreation, & Leisure","31"
2020,"2020","1191XX","Other managers","true","true",22074,78284.63839811544,11231.54845493648,3647.3978649631695,1022,"Parks, Recreation, & Leisure","31"
2020,"2020","151252","Software developers","true","true",2820,102397.21914893617,29765.255089198923,1303.7526594945987,107,"Parks, Recreation, & Leisure","31"
2020,"2020","172051","Civil engineers","true","true",1000,72308.236,32930.26016956557,776.3781473053363,48,"Parks, Recreation, & Leisure","31"
2020,"2020","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",971,117340.51802265705,70516.83336073437,765.0379164504534,47,"Parks, Recreation, & Leisure","31"
2020,"2020","291210","Physicians","true","true",9890,187067.1303336704,38867.840125673494,2441.5099913510867,423,"Parks, Recreation, & Leisure","31"
2019,"2019","1191XX","Other managers","true","true",21192,76261.4863155908,10843.893944342626,3573.795678266848,992,"Parks, Recreation, & Leisure","31"
2019,"2019","151252","Software developers","true","true",2377,93662.52587294909,32593.474919669923,1196.9771813031557,100,"Parks, Recreation, & Leisure","31"
2019,"2019","172051","Civil engineers","true","true",778,68007.04241645244,32768.86066796708,684.7994749759557,38,"Parks, Recreation, & Leisure","31"
2019,"2019","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",621,107452.67793880837,94961.69455806355,611.8143372673774,37,"Parks, Recreation, & Leisure","31"
2019,"2019","291210","Physicians","true","true",9431,184979.87827377795,39113.32329064802,2384.1843366287662,419,"Parks, Recreation, & Leisure","31"
2018,"2018","1191XX","Other managers","true","true",18933,75521.23044419796,10340.64332019162,3377.9745114952907,887,"Parks, Recreation, & Leisure","31"
2018,"2018","151252","Software developers","true","true",1658,84623.5952955368,33553.63993356672,999.6881875045705,77,"Parks, Recreation, & Leisure","31"
2018,"2018","172051","Civil engineers","true","true",776,61690.75386597938,27579.593466524773,683.9186822586915,31,"Parks, Recreation, & Leisure","31"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",596,111469.91946308725,95056.3173561751,599.3727631650484,32,"Parks, Recreation, & Leisure","31"
2018,"2018","291210","Physicians","true","true",8927,176873.9218102386,38877.57718251005,2319.606267431403,397,"Parks, Recreation, & Leisure","31"
2017,"2017","172051","Civil engineers","true","true",495,63384.76565656566,32176.308680418213,546.2313384671951,22,"Parks, Recreation, & Leisure","31"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",621,123916.03220611917,98582.66420086125,611.8143004063221,27,"Parks, Recreation, & Leisure","31"
2016,"2016","172051","Civil engineers","true","true",414,61608.46859903382,30718.616855499484,499.5446303745171,18,"Parks, Recreation, & Leisure","31"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",553,101186.52441229657,70869.44506011256,577.3464201039554,24,"Parks, Recreation, & Leisure","31"
2015,"2015","172051","Civil engineers","true","true",340,63150.617647058825,31371.416245078577,452.70332891444997,14,"Parks, Recreation, & Leisure","31"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",413,106962.37530266344,92854.4103210086,498.94094096981087,16,"Parks, Recreation, & Leisure","31"
2014,"2014","172051","Civil engineers","true","true",293,63077.35836177474,24787.989506331764,420.2503707996813,13,"Parks, Recreation, & Leisure","31"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",426,90676.62676056338,94657.68569169592,506.73264585643403,15,"Parks, Recreation, & Leisure","31"
2022,"2022","1191XX","Other managers","true","true",100336,140904.66884268855,9253.735287010762,7774.274611749264,5071,"Biology","26"
2022,"2022","151252","Software developers","true","true",28868,134179.70337397812,13951.975324889941,4171.016376964099,1371,"Biology","26"
2022,"2022","172051","Civil engineers","true","true",4250,103691.13882352941,28991.297645662158,1600.5275602335978,221,"Biology","26"
2022,"2022","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",7605,113969.78316896778,16523.74931629231,2140.9844435476757,374,"Biology","26"
2022,"2022","291210","Physicians","true","true",425264,271956.3201893412,7542.936990443851,15988.074745914317,21565,"Biology","26"
2021,"2021","1191XX","Other managers","true","true",95267,129581.4339907838,8787.912882526956,7575.455923564578,4840,"Biology","26"
2021,"2021","151252","Software developers","true","true",25392,122733.26799779458,12774.526543337292,3911.890104993597,1206,"Biology","26"
2021,"2021","172051","Civil engineers","true","true",3983,102913.47426562892,30543.741491782457,1549.4379051539177,210,"Biology","26"
2021,"2021","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",7131,107940.028887954,17019.489148887464,2073.1928768106945,351,"Biology","26"
2021,"2021","291210","Physicians","true","true",418294,252065.8001071017,6995.517071469905,15856.68492599374,21054,"Biology","26"
2020,"2020","1191XX","Other managers","true","true",87887,123815.73644566318,8777.881644047933,7276.274811116676,4554,"Biology","26"
2020,"2020","151252","Software developers","true","true",22353,115202.29293607122,12512.252641555548,3670.3723390266346,1076,"Biology","26"
2020,"2020","172051","Civil engineers","true","true",3564,98031.3122895623,31629.33882741634,1465.6774891217572,197,"Biology","26"
2020,"2020","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6894,102462.66913257906,17143.631467997482,2038.4513994459733,343,"Biology","26"
2020,"2020","291210","Physicians","true","true",407502,241076.6303085629,6763.892683804985,15651.125309412924,20660,"Biology","26"
2019,"2019","1191XX","Other managers","true","true",86466,118660.28316332432,8392.875139952563,7217.235594938988,4605,"Biology","26"
2019,"2019","151252","Software developers","true","true",19585,108440.8907327036,12525.33433153156,3435.6418667622065,987,"Biology","26"
2019,"2019","172051","Civil engineers","true","true",3256,93971.36762899262,30129.054229202695,1400.9163123551446,178,"Biology","26"
2019,"2019","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6303,98574.0694907187,18201.945990766115,1949.1227428669538,322,"Biology","26"
2019,"2019","291210","Physicians","true","true",402023,239292.8719724991,6754.13814089913,15545.730678846892,21140,"Biology","26"
2018,"2018","1191XX","Other managers","true","true",82769,116126.38371854197,8339.68484914319,7061.3169852279925,4383,"Biology","26"
2018,"2018","151252","Software developers","true","true",16974,106529.97855543773,13744.845444333441,3198.4654090016124,852,"Biology","26"
